"Time","Potential"
2.832,0.039
2.834,0.039
2.836,0.033
2.838,0.033
2.840,0.036
2.842,0.039
2.844,0.039
2.846,0.036
2.848,0.036
2.850,0.039
2.852,0.033
2.854,0.030
2.856,0.033
2.858,0.039
2.860,0.033
2.862,0.033
2.864,0.030
2.866,0.030
2.868,0.030
2.870,0.033
2.872,0.042
2.874,0.042
2.876,0.033
2.878,0.033
2.880,0.039
2.882,0.042
2.884,0.042
2.886,0.039
2.888,0.039
2.890,0.042
2.892,0.033
2.894,0.036
2.896,0.036
2.898,0.042
2.900,0.042
2.902,0.030
2.904,0.030
2.906,0.033
2.908,0.033
2.910,0.039
2.912,0.042
2.914,0.042
2.916,0.045
2.918,0.039
2.920,0.036
2.922,0.039
2.924,0.042
2.926,0.039
2.928,0.042
2.930,0.045
2.932,0.039
2.934,0.039
2.936,0.036
2.938,0.042
2.940,0.045
2.942,0.039
2.944,0.045
2.946,0.045
2.948,0.045
2.950,0.036
2.952,0.042
2.954,0.042
2.956,0.042
2.958,0.045
2.960,0.039
2.962,0.039
2.964,0.036
2.966,0.036
2.968,0.039
2.970,0.045
2.972,0.045
2.974,0.033
2.976,0.042
2.978,0.039
2.980,0.045
2.982,0.048
2.984,0.045
2.986,0.048
2.988,0.048
2.990,0.042
2.992,0.039
2.994,0.042
2.996,0.045
2.998,0.045
3.000,0.036
3.002,0.042
3.004,0.039
3.006,0.042
3.008,0.042
3.010,0.042
3.012,0.045
3.014,0.045
3.016,0.036
3.018,0.042
3.020,0.045
3.022,0.045
3.024,0.042
3.026,0.042
3.028,0.042
3.030,0.045
3.032,0.042
3.034,0.039
3.036,0.042
3.038,0.045
3.040,0.042
3.042,0.039
3.044,0.033
3.046,0.033
3.048,0.036
3.050,0.039
3.052,0.042
3.054,0.042
3.056,0.039
3.058,0.033
3.060,0.039
3.062,0.042
3.064,0.045
3.066,0.042
3.068,0.042
3.070,0.045
3.072,0.033
3.074,0.039
3.076,0.039
3.078,0.042
3.080,0.045
3.082,0.039
3.084,0.039
3.086,0.045
3.088,0.045
3.090,0.042
3.092,0.042
3.094,0.045
3.096,0.042
3.098,0.042
3.100,0.042
3.102,0.042
3.104,0.042
3.106,0.036
3.108,0.036
3.110,0.042
3.112,0.039
3.114,0.039
3.116,0.039
3.118,0.042
3.120,0.045
3.122,0.045
3.124,0.048
3.126,0.048
3.128,0.048
3.130,0.036
3.132,0.039
3.134,0.042
3.136,0.042
3.138,0.045
3.140,0.042
3.142,0.039
3.144,0.039
3.146,0.039
3.148,0.039
3.150,0.045
3.152,0.045
3.154,0.039
3.156,0.036
3.158,0.039
3.160,0.048
3.162,0.045
3.164,0.048
3.166,0.045
3.168,0.042
3.170,0.042
3.172,0.039
3.174,0.039
3.176,0.042
3.178,0.042
3.180,0.030
3.182,0.039
3.184,0.039
3.186,0.033
3.188,0.036
3.190,0.042
3.192,0.045
3.194,0.042
3.196,0.036
3.198,0.042
3.200,0.042
3.202,0.042
3.204,0.042
3.206,0.042
3.208,0.042
3.210,0.045
3.212,0.042
3.214,0.036
3.216,0.039
3.218,0.042
3.220,0.039
3.222,0.036
3.224,0.033
3.226,0.039
3.228,0.036
3.230,0.036
3.232,0.042
3.234,0.042
3.236,0.045
3.238,0.033
3.240,0.042
3.242,0.042
3.244,0.042
3.246,0.039
3.248,0.039
3.250,0.045
3.252,0.030
3.254,0.036
3.256,0.033
3.258,0.042
3.260,0.042
3.262,0.039
3.264,0.036
3.266,0.039
3.268,0.045
3.270,0.039
3.272,0.039
3.274,0.042
3.276,0.045
3.278,0.039
3.280,0.036
3.282,0.039
3.284,0.039
3.286,0.033
3.288,0.033
3.290,0.042
3.292,0.036
3.294,0.033
3.296,0.036
3.298,0.042
3.300,0.045
3.302,0.045
3.304,0.045
3.306,0.045
3.308,0.045
3.310,0.033
3.312,0.039
3.314,0.042
3.316,0.045
3.318,0.045
3.320,0.042
3.322,0.039
3.324,0.039
3.326,0.042
3.328,0.039
3.330,0.045
3.332,0.045
3.334,0.039
3.336,0.036
3.338,0.042
3.340,0.045
3.342,0.048
3.344,0.048
3.346,0.045
3.348,0.045
3.350,0.042
3.352,0.042
3.354,0.042
3.356,0.045
3.358,0.048
3.360,0.033
3.362,0.042
3.364,0.042
3.366,0.039
3.368,0.039
3.370,0.045
3.372,0.048
3.374,0.045
3.376,0.042
3.378,0.048
3.380,0.048
3.382,0.051
3.384,0.048
3.386,0.048
3.388,0.048
3.390,0.051
3.392,0.045
3.394,0.042
3.396,0.042
3.398,0.048
3.400,0.042
3.402,0.039
3.404,0.033
3.406,0.042
3.408,0.042
3.410,0.045
3.412,0.048
3.414,0.048
3.416,0.048
3.418,0.042
3.420,0.045
3.422,0.054
3.424,0.051
3.426,0.048
3.428,0.048
3.430,0.054
3.432,0.042
3.434,0.048
3.436,0.045
3.438,0.054
3.440,0.054
3.442,0.048
3.444,0.048
3.446,0.051
3.448,0.051
3.450,0.048
3.452,0.054
3.454,0.051
3.456,0.054
3.458,0.048
3.460,0.045
3.462,0.048
3.464,0.048
3.466,0.045
3.468,0.048
3.470,0.054
