"Time","Potential"
2.224,1.343
2.226,1.346
2.228,1.346
2.230,1.343
2.232,1.343
2.234,1.331
2.236,1.334
2.238,1.340
2.240,1.340
2.242,1.340
2.244,1.337
2.246,1.334
2.248,1.334
2.250,1.337
2.252,1.337
2.254,1.340
2.256,1.331
2.258,1.331
2.260,1.331
2.262,1.331
2.264,1.340
2.266,1.334
2.268,1.334
2.270,1.328
2.272,1.331
2.274,1.331
2.276,1.334
2.278,1.321
2.280,1.321
2.282,1.328
2.284,1.328
2.286,1.331
2.288,1.331
2.290,1.321
2.292,1.315
2.294,1.324
2.296,1.324
2.298,1.328
2.300,1.328
2.302,1.328
2.304,1.321
2.306,1.321
2.308,1.324
2.310,1.324
2.312,1.324
2.314,1.319
2.316,1.315
2.318,1.312
2.320,1.315
2.322,1.315
2.324,1.319
2.326,1.309
2.328,1.309
2.330,1.306
2.332,1.309
2.334,1.315
2.336,1.309
2.338,1.309
2.340,1.306
2.342,1.306
2.344,1.312
2.346,1.315
2.348,1.303
2.350,1.297
2.352,1.306
2.354,1.303
2.356,1.306
2.358,1.306
2.360,1.300
2.362,1.294
2.364,1.300
2.366,1.306
2.368,1.306
2.370,1.306
2.372,1.309
2.374,1.294
2.376,1.297
2.378,1.303
2.380,1.300
2.382,1.300
2.384,1.294
2.386,1.294
2.388,1.294
2.390,1.294
2.392,1.294
2.394,1.294
2.396,1.282
2.398,1.288
2.400,1.285
2.402,1.291
2.404,1.294
2.406,1.291
2.408,1.291
2.410,1.282
2.412,1.282
2.414,1.285
2.416,1.288
2.418,1.279
2.420,1.276
2.422,1.279
2.424,1.279
2.426,1.282
2.428,1.282
2.430,1.276
2.432,1.279
2.434,1.279
2.436,1.279
2.438,1.279
2.440,1.279
2.442,1.279
2.444,1.273
2.446,1.273
2.448,1.279
2.450,1.276
2.452,1.276
2.454,1.270
2.456,1.270
2.458,1.267
2.460,1.270
2.462,1.273
2.464,1.276
2.466,1.267
2.468,1.264
2.470,1.264
2.472,1.264
2.474,1.267
2.476,1.261
2.478,1.264
2.480,1.258
2.482,1.258
2.484,1.267
2.486,1.267
2.488,1.255
2.490,1.255
2.492,1.261
2.494,1.258
2.496,1.261
2.498,1.267
2.500,1.258
2.502,1.255
2.504,1.258
2.506,1.261
2.508,1.261
2.510,1.261
2.512,1.261
2.514,1.255
2.516,1.255
2.518,1.258
2.520,1.261
2.522,1.261
2.524,1.258
2.526,1.255
2.528,1.255
2.530,1.258
2.532,1.258
2.534,1.258
2.536,1.246
2.538,1.252
2.540,1.252
2.542,1.252
2.544,1.258
2.546,1.255
2.548,1.255
2.550,1.255
2.552,1.255
2.554,1.255
2.556,1.261
2.558,1.255
2.560,1.246
2.562,1.255
2.564,1.255
2.566,1.258
2.568,1.261
2.570,1.258
2.572,1.255
2.574,1.255
2.576,1.255
2.578,1.258
2.580,1.258
2.582,1.258
2.584,1.249
2.586,1.252
2.588,1.255
2.590,1.255
2.592,1.252
2.594,1.255
2.596,1.246
2.598,1.246
2.600,1.249
2.602,1.249
2.604,1.252
2.606,1.246
2.608,1.246
2.610,1.246
2.612,1.246
2.614,1.252
2.616,1.246
2.618,1.246
2.620,1.243
2.622,1.243
2.624,1.246
